t,u,theta,theta_rad,phi
14.29,35,0.201449,0.201449,36
14.3,35,0.201156,0.201156,36
14.31,35,0.2010034,0.2010034,36
14.32,35,0.2038131,0.2038131,36
14.33,35,0.2062878,0.2062878,36
14.34,35,0.2101111,0.2101111,36
14.35,35,0.2098544,0.2098544,36
14.36,35,0.2097367,0.2097367,36
14.37,35,0.2094899,0.2094899,36
14.38,35,0.2078488,0.2078488,36
14.39,35,0.2123486,0.2123486,36
14.4,35,0.212419,0.212419,36
14.41,35,0.2106715,0.2106715,36
14.42,35,0.2126402,0.2126402,36
14.43,35,0.2152789,0.2152789,36
14.44,35,0.2136998,0.2136998,36
14.45,35,0.217551,0.217551,36
14.46,35,0.2167755,0.2167755,36
14.47,35,0.2168568,0.2168568,36
14.48,35,0.2165094,0.2165094,36
14.49,35,0.2190383,0.2190383,36
14.5,35,0.2189223,0.2189223,36
14.51,35,0.2197881,0.2197881,36
14.52,35,0.2174859,0.2174859,36
14.53,35,0.2132791,0.2132791,36
14.54,35,0.2087877,0.2087877,36
14.55,35,0.2083861,0.2083861,36
14.56,35,0.2084427,0.2084427,36
14.57,35,0.2082005,0.2082005,36
14.58,35,0.2095293,0.2095293,36
14.59,35,0.2086613,0.2086613,36
14.6,35,0.20513,0.20513,36
14.61,35,0.202596,0.202596,36
14.62,35,0.2017303,0.2017303,36
14.63,35,0.2014463,0.2014463,36
14.64,35,0.2039897,0.2039897,36
14.65,35,0.2034713,0.2034713,36
14.66,35,0.2036736,0.2036736,36
14.67,35,0.2030338,0.2030338,36
14.68,35,0.2066576,0.2066576,36
14.69,35,0.2049505,0.2049505,36
14.7,35,0.2072477,0.2072477,36
14.71,35,0.2092926,0.2092926,36
14.72,35,0.20515,0.20515,36
14.73,35,0.2057471,0.2057471,36
14.74,35,0.2073051,0.2073051,36
14.75,35,0.2077078,0.2077078,36
14.76,35,0.205987,0.205987,36
14.77,35,0.2089498,0.2089498,36
14.78,35,0.210123,0.210123,36
14.79,35,0.2055929,0.2055929,36
14.8,35,0.2046084,0.2046084,36
14.81,35,0.2063524,0.2063524,36
14.82,35,0.2080433,0.2080433,36
14.83,35,0.2063836,0.2063836,36
14.84,35,0.2067584,0.2067584,36
14.85,35,0.204024,0.204024,36
14.86,35,0.2023615,0.2023615,36
14.87,35,0.2108871,0.2108871,36
14.88,35,0.2080479,0.2080479,36
14.89,35,0.2060058,0.2060058,36
14.9,35,0.2075346,0.2075346,36
14.91,35,0.2078928,0.2078928,36
14.92,35,0.2068307,0.2068307,36
14.93,35,0.2094963,0.2094963,36
14.94,35,0.2085358,0.2085358,36
14.95,35,0.2068582,0.2068582,36
14.96,35,0.2089181,0.2089181,36
14.97,35,0.2095311,0.2095311,36
14.98,35,0.2104242,0.2104242,36
14.99,35,0.2098789,0.2098789,36
