t,u,theta,theta_rad,phi
1.95,35,-18.31016,-18.31016,35
1.96,35,-18.52751,-18.52751,35
1.97,35,-18.61293,-18.61293,35
1.98,35,-18.6033,-18.6033,35
1.99,35,-18.55179,-18.55179,35
2,35,-18.50173,-18.50173,35
2.01,35,-18.38394,-18.38394,35
2.02,35,-18.07688,-18.07688,35
2.03,35,-17.6238,-17.6238,35
2.04,35,-17.09257,-17.09257,35
2.05,35,-16.50546,-16.50546,35
2.06,35,-15.81279,-15.81279,35
2.07,35,-15.00458,-15.00458,35
2.08,35,-14.1005,-14.1005,35
2.09,35,-13.10758,-13.10758,35
2.1,35,-12.04491,-12.04491,35
2.11,35,-10.92854,-10.92854,35
2.12,35,-9.756242,-9.756242,35
2.13,35,-8.518085,-8.518085,35
2.14,35,-7.20488,-7.20488,35
2.15,35,-5.847302,-5.847302,35
2.16,35,-4.476439,-4.476439,35
2.17,35,-3.105108,-3.105108,35
2.18,35,-1.72614,-1.72614,35
2.19,35,-0.3204782,-0.3204782,35
2.2,35,1.093724,1.093724,35
2.21,35,2.503575,2.503575,35
2.22,35,3.893141,3.893141,35
2.23,35,5.232489,5.232489,35
2.24,35,6.527581,6.527581,35
2.25,35,7.780507,7.780507,35
2.26,35,8.994277,8.994277,35
2.27,35,10.13184,10.13184,36
2.28,35,11.17755,11.17755,36
2.29,35,12.13084,12.13084,36
2.3,35,12.97662,12.97662,36
2.31,35,13.69019,13.69019,36
2.32,35,14.31965,14.31965,36
2.33,35,14.8622,14.8622,36
2.34,35,15.26577,15.26577,36
2.35,35,15.55204,15.55204,36
2.36,35,15.86985,15.86985,36
2.37,35,16.25523,16.25523,36
2.38,35,16.49931,16.49931,36
2.39,35,16.59357,16.59357,36
2.4,35,16.64067,16.64067,36
2.41,35,16.55711,16.55711,36
2.42,35,16.30994,16.30994,36
2.43,35,15.99621,15.99621,36
2.44,35,15.65001,15.65001,36
2.45,35,15.19774,15.19774,36
2.46,35,14.61698,14.61698,36
2.47,35,13.94412,13.94412,36
2.48,35,13.17757,13.17757,36
2.49,35,12.33155,12.33155,36
2.5,35,11.45538,11.45538,36
2.51,35,10.5174,10.5174,36
2.52,35,9.504584,9.504584,36
2.53,35,8.400743,8.400743,36
2.54,35,7.272538,7.272538,36
2.55,35,6.110301,6.110301,36
2.56,35,4.925222,4.925222,36
2.57,35,3.707948,3.707948,36
2.58,35,2.463245,2.463245,36
2.59,35,1.199584,1.199584,36
2.6,35,-0.06260271,-0.06260271,36
2.61,35,-1.310837,-1.310837,36
2.62,35,-2.535709,-2.535709,36
2.63,35,-3.741571,-3.741571,36
2.64,35,-4.929375,-4.929375,36
2.65,35,-6.084208,-6.084208,36
2.66,35,-7.199713,-7.199713,36
2.67,35,-8.263711,-8.263711,36
2.68,35,-9.273576,-9.273576,36
2.69,35,-10.21846,-10.21846,36
2.7,35,-11.09248,-11.09248,36
2.71,35,-11.88923,-11.88923,36
2.72,35,-12.6022,-12.6022,36
2.73,35,-13.23278,-13.23278,36
2.74,35,-13.77017,-13.77017,36
2.75,35,-14.19062,-14.19062,36
2.76,35,-14.49451,-14.49451,36
2.77,35,-14.71412,-14.71412,36
2.78,35,-14.82722,-14.82722,36
2.79,35,-14.85071,-14.85071,36
2.8,35,-14.80742,-14.80742,36
2.81,35,-14.67473,-14.67473,35
2.82,35,-14.45274,-14.45274,35
2.83,35,-14.15246,-14.15246,35
2.84,35,-13.78528,-13.78528,35
2.85,35,-13.35184,-13.35184,35
2.86,35,-12.85447,-12.85447,35
2.87,35,-12.2852,-12.2852,35
2.88,35,-11.63348,-11.63348,35
2.89,35,-10.91332,-10.91332,35
2.9,35,-10.12241,-10.12241,35
2.91,35,-9.276147,-9.276147,35
2.92,35,-8.388916,-8.388916,35
2.93,35,-7.454675,-7.454675,35
2.94,35,-6.468454,-6.468454,35
2.95,35,-5.429137,-5.429137,35
2.96,35,-4.356526,-4.356526,35
2.97,35,-3.275454,-3.275454,35
2.98,35,-2.19144,-2.19144,35
2.99,35,-1.078751,-1.078751,35
3,35,0.04522927,0.04522927,35
3.01,35,1.175619,1.175619,35
3.02,35,2.287156,2.287156,35
3.03,35,3.376648,3.376648,35
3.04,35,4.436172,4.436172,35
3.05,35,5.468729,5.468729,35
3.06,35,6.465801,6.465801,36
3.07,35,7.414693,7.414693,36
3.08,35,8.31978,8.31978,36
3.09,35,9.17077,9.17077,36
3.1,35,9.947141,9.947141,36
3.11,35,10.63425,10.63425,36
3.12,35,11.24892,11.24892,36
3.13,35,11.78016,11.78016,36
3.14,35,12.19759,12.19759,36
3.15,35,12.52646,12.52646,36
3.16,35,12.78086,12.78086,36
3.17,35,12.92489,12.92489,36
3.18,35,13.03311,13.03311,36
3.19,35,13.15824,13.15824,36
3.2,35,13.27299,13.27299,36
3.21,35,13.27832,13.27832,36
3.22,35,13.19225,13.19225,36
3.23,35,13.02937,13.02937,36
3.24,35,12.77057,12.77057,36
3.25,35,12.41216,12.41216,36
3.26,35,12.01101,12.01101,36
3.27,35,11.57208,11.57208,36
3.28,35,11.05122,11.05122,36
3.29,35,10.43449,10.43449,36
3.3,35,9.766424,9.766424,36
3.31,35,9.031505,9.031505,36
3.32,35,8.25518,8.25518,36
3.33,35,7.446781,7.446781,36
3.34,35,6.597943,6.597943,36
3.35,35,5.683689,5.683689,36
3.36,35,4.738014,4.738014,36
3.37,35,3.78176,3.78176,36
3.38,35,2.810552,2.810552,36
3.39,35,1.825788,1.825788,36
3.4,35,0.8342384,0.8342384,36
3.41,35,-0.165223,-0.165223,36
3.42,35,-1.15827,-1.15827,36
3.43,35,-2.12914,-2.12914,36
3.44,35,-3.083118,-3.083118,36
3.45,35,-4.012077,-4.012077,36
3.46,35,-4.924725,-4.924725,36
3.47,35,-5.797101,-5.797101,36
3.48,35,-6.626019,-6.626019,36
3.49,35,-7.405165,-7.405165,36
3.5,35,-8.138805,-8.138805,36
3.51,35,-8.815371,-8.815371,36
3.52,35,-9.428899,-9.428899,36
3.53,35,-9.978131,-9.978131,36
3.54,35,-10.46383,-10.46383,36
3.55,35,-10.87792,-10.87792,36
3.56,35,-11.22873,-11.22873,36
3.57,35,-11.49959,-11.49959,36
3.58,35,-11.68884,-11.68884,36
3.59,35,-11.79983,-11.79983,36
3.6,35,-11.83354,-11.83354,36
3.61,35,-11.79237,-11.79237,36
3.62,35,-11.67297,-11.67297,36
3.63,35,-11.4758,-11.4758,36
3.64,35,-11.19933,-11.19933,36
3.65,35,-10.86256,-10.86256,36
3.66,35,-10.47712,-10.47712,36
3.67,35,-10.03961,-10.03961,36
3.68,35,-9.547528,-9.547528,36
3.69,35,-8.997259,-8.997259,36
3.7,35,-8.399797,-8.399797,36
3.71,35,-7.749707,-7.749707,36
3.72,35,-7.052519,-7.052519,36
3.73,35,-6.310956,-6.310956,36
3.74,35,-5.53917,-5.53917,36
3.75,35,-4.733629,-4.733629,36
3.76,35,-3.893183,-3.893183,36
3.77,35,-3.037816,-3.037816,36
3.78,35,-2.162491,-2.162491,36
3.79,35,-1.273899,-1.273899,36
3.8,35,-0.3813257,-0.3813257,36
3.81,35,0.5134732,0.5134732,36
3.82,35,1.403637,1.403637,36
3.83,35,2.280813,2.280813,36
3.84,35,3.144345,3.144345,36
3.85,35,3.988363,3.988363,36
3.86,35,4.802896,4.802896,36
3.87,35,5.583918,5.583918,36
3.88,35,6.323277,6.323277,36
3.89,35,7.019782,7.019782,36
3.9,35,7.674426,7.674426,36
3.91,35,8.274637,8.274637,36
3.92,35,8.823512,8.823512,36
3.93,35,9.309171,9.309171,36
3.94,35,9.726272,9.726272,36
3.95,35,10.07686,10.07686,36
3.96,35,10.35922,10.35922,36
3.97,35,10.55903,10.55903,36
