t,u,theta,phi
2.94,-8.131612e-05,-0.0002032903,-7.081032e-05
2.95,-5.92899e-05,-0.0001482247,-7.081032e-05
2.96,-5.162038e-05,-0.0001290509,-7.081032e-05
2.97,-6.150019e-05,-0.0001537505,-7.081032e-05
2.98,-7.114512e-05,-0.0001778628,0.004791737
2.99,-4.808373e-05,-0.0001202093,0.004791737
3,-3.767483e-05,-9.418707e-05,0.004791737
3.01,-2.982787e-05,-7.456967e-05,-7.081032e-05
3.02,-3.916207e-05,-9.790517e-05,-7.081032e-05
3.03,-2.975788e-05,-7.439469e-05,-7.081032e-05
3.04,-4.724728e-05,-0.0001181182,-7.081032e-05
3.05,-5.710018e-05,-0.0001427504,-7.081032e-05
3.06,-7.332541e-05,-0.0001833135,-7.081032e-05
3.07,-7.989328e-05,-0.0001997332,0.004791737
3.08,-4.746914e-05,-0.0001186728,-7.081032e-05
3.09,-6.628221e-05,-0.0001657055,0.004791737
3.1,-6.580961e-05,-0.000164524,-7.081032e-05
3.11,-6.751786e-06,-1.687946e-05,-7.081032e-05
3.12,-6.883365e-06,-1.720841e-05,0.004791737
3.13,-4.299006e-05,-0.0001074752,-7.081032e-05
3.14,-5.076286e-05,-0.0001269072,0.004791737
3.15,-2.344492e-05,-5.861231e-05,-7.081032e-05
3.16,-1.789477e-05,-4.473693e-05,-7.081032e-05
3.17,-4.296865e-05,-0.0001074216,-7.081032e-05
3.18,-4.041221e-05,-0.0001010305,-7.081032e-05
3.19,-4.385544e-05,-0.0001096386,-7.081032e-05
3.2,-2.884623e-05,-7.211558e-05,-7.081032e-05
3.21,-4.588619e-05,-0.0001147155,0.004791737
3.22,-3.27306e-05,-8.182651e-05,-7.081032e-05
3.23,-1.259627e-05,-3.149068e-05,0.004791737
3.24,-1.551461e-05,-3.878651e-05,-7.081032e-05
3.25,-1.156718e-05,-2.891795e-05,0.004791737
3.26,-2.303693e-05,-5.759232e-05,-7.081032e-05
3.27,-2.032189e-05,-5.080471e-05,-7.081032e-05
3.28,1.022846e-05,2.557114e-05,-7.081032e-05
3.29,5.257184e-06,1.314296e-05,-7.081032e-05
3.3,-2.493633e-05,-6.234081e-05,-7.081032e-05
3.31,-3.580657e-05,-8.951641e-05,-7.081032e-05
3.32,-1.158076e-05,-2.895189e-05,0.004791737
3.33,2.713709e-05,6.784272e-05,0.004791737
3.34,1.62369e-05,4.059225e-05,0.004791737
3.35,-3.315711e-06,-8.289278e-06,0.004791737
3.36,4.355104e-05,0.0001088776,-7.081032e-05
3.37,3.496388e-05,8.740969e-05,0.004791737
3.38,5.253903e-05,0.0001313476,-7.081032e-05
3.39,4.588461e-05,0.0001147115,-7.081032e-05
3.4,-8.868548e-07,-2.217137e-06,-7.081032e-05
3.41,1.342366e-05,3.355915e-05,-7.081032e-05
3.42,6.833021e-05,0.0001708255,-7.081032e-05
3.43,7.333211e-05,0.0001833303,0.004791737
3.44,5.706091e-05,0.0001426523,0.004791737
3.45,7.09369e-05,0.0001773422,-7.081032e-05
3.46,6.478301e-05,0.0001619575,-7.081032e-05
3.47,5.674154e-05,0.0001418539,0.004791737
3.48,2.319246e-05,5.798115e-05,0.004791737
3.49,-2.212138e-06,-5.530346e-06,0.004791737
3.5,2.345411e-05,5.863526e-05,-7.081032e-05
3.51,2.566535e-05,6.416338e-05,-7.081032e-05
3.52,1.52245e-05,3.806125e-05,-7.081032e-05
3.53,1.329265e-05,3.323163e-05,-7.081032e-05
3.54,5.048394e-05,0.0001262099,0.004791737
3.55,4.005658e-05,0.0001001414,0.004791737
3.56,2.892134e-05,7.230334e-05,-7.081032e-05
3.57,2.684383e-05,6.710958e-05,0.004791737
3.58,2.36569e-05,5.914225e-05,-7.081032e-05
3.59,9.462906e-06,2.365726e-05,0.004791737
3.6,3.080301e-06,7.700752e-06,-7.081032e-05
3.61,-4.906504e-06,-1.226626e-05,-7.081032e-05
3.62,-1.044584e-05,-2.61146e-05,0.004791737
3.63,-4.720827e-05,-0.0001180207,-7.081032e-05
3.64,-6.995722e-05,-0.000174893,-7.081032e-05
3.65,-5.859715e-05,-0.0001464929,0.004791737
3.66,-2.938678e-05,-7.346694e-05,-7.081032e-05
3.67,-3.668356e-05,-9.170888e-05,-7.081032e-05
3.68,-3.103537e-05,-7.758843e-05,-7.081032e-05
3.69,-5.904237e-05,-0.0001476059,-7.081032e-05
3.7,-5.593317e-05,-0.0001398329,-7.081032e-05
3.71,-8.620344e-05,-0.0002155086,-7.081032e-05
3.72,-5.508004e-05,-0.0001377001,-7.081032e-05
3.73,-6.687162e-05,-0.000167179,-7.081032e-05
3.74,-8.530746e-05,-0.0002132686,-7.081032e-05
3.75,-0.0001220889,-0.0003052222,-7.081032e-05
3.76,-7.38809e-05,-0.0001847023,-7.081032e-05
3.77,-8.04497e-05,-0.0002011243,0.004791737
3.78,-7.615379e-05,-0.0001903845,0.004791737
3.79,-8.439253e-05,-0.0002109813,-7.081032e-05
3.8,-7.353452e-05,-0.0001838363,-7.081032e-05
3.81,-9.147752e-05,-0.0002286938,-7.081032e-05
3.82,-8.685362e-05,-0.0002171341,-7.081032e-05
3.83,-6.546266e-05,-0.0001636567,-7.081032e-05
3.84,-7.820995e-05,-0.0001955249,-7.081032e-05
3.85,-8.151796e-05,-0.0002037949,0.004791737
3.86,-0.0001045591,-0.0002613977,-7.081032e-05
