t,u,theta,phi
2.55,-0.0003319133,-0.0006261839,0
2.56,-0.0001282361,-0.0005581877,0
2.57,-0.0003310999,-0.0005794974,0
2.58,-0.0001861061,-0.0006688442,0
2.59,-0.0003634366,-0.0006929565,0
2.6,-0.0002340553,-0.0007648344,0
2.61,-0.0003072007,-0.0006471485,0
2.62,-0.0002128772,-0.0006510803,0
2.63,-0.0003370443,-0.000699509,0
2.64,-0.0002127723,-0.0006831912,0
2.65,-0.0002499866,-0.0005435343,0
2.66,-0.0001314686,-0.0004545806,0
2.67,-0.0002585999,-0.0004985874,0
2.68,-0.0001761313,-0.0005583562,0
2.69,-0.0002311493,-0.0004926822,0
2.7,-0.0001407962,-0.0004556817,0
2.71,-0.0001947889,-0.0004074146,0
2.72,-0.0001269639,-0.0004004499,0
2.73,-0.0002530882,-0.000499937,0
2.74,-0.0001288282,-0.0004698818,0
2.75,-0.0002284193,-0.0004387853,0
2.76,-8.84832e-05,-0.0003819091,0
2.77,-0.0001900679,-0.0003369487,0
2.78,-0.0001113038,-0.0003899698,0
2.79,-0.0001720648,-0.000342291,0
2.8,-0.0001123365,-0.0003599051,0
2.81,-0.0001480818,-0.0003140621,0
2.82,-8.711358e-05,-0.0002873049,0
2.83,-0.0001721085,-0.0003362685,0
2.84,-9.823653e-05,-0.0003384856,0
2.85,-0.0001636316,-0.0003236184,0
2.86,-0.0001461066,-0.0004083575,0
2.87,-0.0002022469,-0.00044447,0
2.88,-8.607635e-05,-0.0003323822,0
2.89,-0.0001505749,-0.0002836247,0
2.9,-8.079894e-05,-0.0002910815,0
2.91,-0.0001692945,-0.0003197952,0
2.92,-0.0001192557,-0.0003743186,0
2.93,-0.0001392634,-0.0003060922,0
2.94,-0.0001373739,-0.0003590313,0
2.95,-0.0001285663,-0.0003235565,0
2.96,-0.0001251727,-0.0003150461,0
2.97,-0.0001706316,-0.0003879917,0
2.98,-0.0001224041,-0.0003590623,0
2.99,-0.0001260992,-0.0002944847,0
3,-9.882641e-05,-0.0002767144,0
3.01,-9.137148e-05,-0.0002247583,0
3.02,-7.729114e-05,-0.0002061849,0
3.03,-0.0001073235,-0.0002389628,0
3.04,-6.005864e-05,-0.000199316,0
3.05,-0.0001312459,-0.0002524022,0
3.06,-3.164996e-05,-0.0001873591,0
3.07,-0.0001342706,-0.0002140813,0
3.08,-6.625087e-05,-0.000262842,0
3.09,-0.0001921709,-0.000343089,0
3.1,-6.461908e-05,-0.0003136204,0
3.11,-0.0001738782,-0.0002929554,0
3.12,-5.429343e-05,-0.0002826343,0
3.13,-0.0001316225,-0.0002156484,0
3.14,-3.13076e-05,-0.0001996673,0
3.15,-0.0001217965,-0.0001886177,0
3.16,-4.928764e-05,-0.0002222676,0
3.17,-9.166321e-05,-0.0001608289,0
3.18,-4.588247e-05,-0.0001756332,0
3.19,-0.0001154699,-0.0002103762,0
3.2,-5.242074e-05,-0.0002096923,0
3.21,-0.0001029376,-0.0001890331,0
3.22,-3.64326e-05,-0.0001692726,0
3.23,-7.887783e-05,-0.0001357598,0
3.24,7.826058e-06,-7.316633e-05,0
3.25,-2.864723e-05,-1.031318e-05,0
3.26,-6.134471e-06,-5.453177e-05,0
3.27,-3.193834e-05,-4.527743e-05,0
