t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.23,2.037064e-06,0.0009006523,0.0002145022,0.007393028,0.001853943,0.0005736488,-0.004841676,0
1.24,6.988157e-05,0.0009723955,0.001280349,0.008015087,0.001853943,0.0005976707,-0.005222202,0
1.25,5.781839e-05,0.001042014,0.0007474236,0.008347432,0.001853943,0.0006176972,-0.005368882,0
1.26,2.9775e-05,0.001081174,0.0007474236,0.008356774,0.001853943,0.000635769,-0.005384407,0
1.27,4.223257e-07,0.001092309,-0.0003184266,0.008112136,-0.003008366,0.0006531817,-0.005294377,0
1.28,-7.398298e-05,-0.0001223104,-5.196035e-05,-0.007467759,0.001853943,0.0004266601,0.002369874,0
1.29,-0.0001214735,0.000172097,-0.0008513518,-0.003092653,0.001853943,0.0005238484,0.000511246,0
1.3,-0.0001459817,0.0003701545,-0.001117811,0.0007297513,0.001853943,0.0005941655,-0.001835843,0
1.31,-0.0001080614,0.0005086713,-0.0005848892,0.0032407,0.001853943,0.0006411427,-0.003360491,0
1.32,-0.0001203146,0.0006236761,0.001013886,0.004973829,0.001853943,0.0006728139,-0.004364031,0
1.33,-0.0001054201,0.0007026342,0.001280349,0.006067053,0.001853943,0.000694439,-0.005010702,0
1.34,-4.791211e-05,0.0007638666,0.001546815,0.006745207,0.001853943,0.0007096933,-0.005394236,0
1.35,-5.946711e-05,0.0008260065,0.001280349,0.007206438,0.001853943,0.0007211126,-0.005605363,0
1.36,-9.986979e-05,0.0008638815,0.0007474236,0.007386434,0.001853943,0.0007303773,-0.00569617,0
1.37,-7.523391e-06,0.0008737774,0.001013886,0.007315656,0.001853943,0.0007387091,-0.005687815,0
1.38,-1.184355e-05,0.000909142,0.0004809648,0.007315549,0.001853943,0.0007469157,-0.005626351,0
1.39,-1.82944e-05,0.0009286702,-0.0005848892,0.007203502,0.001853943,0.0007553221,-0.005552865,0
1.4,1.897974e-05,0.0009358525,-0.001917202,0.006989559,0.001853943,0.0007641818,-0.00543971,0
1.41,-1.648598e-06,0.000949052,-0.001117811,0.006794022,0.001853943,0.0007737312,-0.00531269,0
1.42,-2.226354e-05,0.0009462832,0.0004809648,0.006519945,0.001853943,0.0007839858,-0.005187664,0
1.43,-4.822078e-06,0.0009321201,0.001013886,0.006196173,0.001853943,0.0007949255,-0.005056806,0
1.44,1.494737e-05,0.000923079,0.0004809648,0.005925486,0.001853943,0.000806468,-0.004939379,0
1.45,2.129713e-05,0.0009186096,-0.0008513518,0.005706919,-0.003008366,0.0008183904,-0.004845488,0
1.46,-4.295948e-05,-0.0002920026,0.0002145022,-0.009690584,0.001853943,0.0005864004,0.00275809,0
1.47,1.29548e-05,1.173562e-05,-5.196035e-05,-0.005102958,0.001853943,0.0006777448,0.000822237,0
1.48,-2.104217e-05,0.0002550541,-0.0008513518,-0.0009167471,-0.003008366,0.000741828,-0.001593863,0
1.49,-7.271675e-05,-0.0007799865,-0.001117811,-0.01335,0.001853943,0.0005382221,0.00434816,0
1.5,-8.542735e-05,-0.0003370546,-0.0005848892,-0.00671651,-0.003008366,0.000642662,0.00132995,0
1.51,-0.0001386447,-0.00121587,0.0002145022,-0.01645522,0.001853943,0.0004661771,0.005744812,0
1.52,-0.0001659274,-0.0006534581,0.0002145022,-0.007988753,0.001853943,0.0005836631,0.001738977,0
1.53,-0.0001577688,-0.0002408072,0.001280349,-0.001320748,0.001853943,0.0006554879,-0.002004875,0
1.54,-0.0002191498,7.473626e-05,-5.196035e-05,0.003148091,-0.003008366,0.0006926849,-0.004389998,0
1.55,-0.0003139917,-0.0009136349,0.0004809648,-0.009214025,0.001853943,0.0004644089,0.00164694,0
1.56,-0.0003384545,-0.0004487378,-5.196035e-05,-0.002681825,-0.003008366,0.0005468414,-0.001224811,0
