t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.02,0.0005141872,6.895117e-05,0.0005249418,-0.005391266,0.004776955,0.0002669231,0.002341566,0
1.03,0.0005338525,0.001288667,-7.979572e-06,0.009945646,-8.535385e-05,0.0005133825,-0.005284191,0
1.04,0.000584844,0.0009714298,0.0007914044,0.005185789,-8.535385e-05,0.0004353847,-0.003381042,0
1.05,0.000655386,0.0007621707,0.001324333,0.003074837,-8.535385e-05,0.0003702642,-0.00353486,0
1.06,0.0006890902,0.0006410555,0.001057871,0.0009971302,-8.535385e-05,0.0003118335,-0.002842514,0
1.07,0.0006789594,0.0005647693,0.0007914044,-0.001053216,-8.535385e-05,0.0002664773,-0.001630679,0
1.08,0.0006613769,0.0005013592,-7.979572e-06,-0.002955102,-8.535385e-05,0.0002365932,-0.0002906575,0
1.09,0.000614632,0.0004424771,0.0002584793,-0.004598073,-8.535385e-05,0.0002213964,0.0009546523,0
1.1,0.0006421825,0.0003759761,-0.0005409047,-0.005986226,-8.535385e-05,0.0002185463,0.002003429,0
1.11,0.0006422443,0.0003298776,-0.000807371,-0.006975752,-8.535385e-05,0.0002251613,0.002819461,0
1.12,0.0006154315,0.0002892977,-0.001073834,-0.007680655,-8.535385e-05,0.0002383727,0.003406194,0
1.13,0.0006859035,0.0002442603,-0.0002744421,-0.008181226,-8.535385e-05,0.0002555583,0.003775577,0
1.14,0.000716389,0.0002308245,-7.979572e-06,-0.008345625,-8.535385e-05,0.0002744926,0.003963165,0
1.15,0.0006816001,0.0002269625,-7.979572e-06,-0.008350456,-8.535385e-05,0.0002934718,0.004011257,0
1.16,0.0007604257,0.0002083004,0.0007914044,-0.008346988,-8.535385e-05,0.0003112334,0.003946416,0
1.17,0.0007374991,0.0002193935,0.0005249418,-0.008146835,-8.535385e-05,0.0003269308,0.003809655,0
1.18,0.0007636052,0.0002170675,0.0005249418,-0.008015458,-8.535385e-05,0.0003401834,0.003643011,0
1.19,0.0007836274,0.0002227621,0.0007914044,-0.007846948,-8.535385e-05,0.0003508966,0.003458391,0
1.2,0.0007603187,0.0002324478,-0.0002744421,-0.007688185,-8.535385e-05,0.0003591886,0.003284438,0
1.21,0.0007354358,0.0002302381,-0.001340296,-0.007621034,-8.535385e-05,0.0003653489,0.003129049,0
1.22,0.0007439368,0.0002193019,-0.00213968,-0.007621592,-8.535385e-05,0.0003697197,0.002998239,0
1.23,0.0007298665,0.0002139158,-0.0002744421,-0.007617644,-8.535385e-05,0.0003726903,0.002899294,0
1.24,0.0007084878,0.000204754,-0.001073834,-0.007653832,-8.535385e-05,0.0003746472,0.002829414,0
1.25,0.0006550888,0.0001905008,-0.0002744421,-0.007722002,-8.535385e-05,0.0003758803,0.002776962,0
1.26,0.0006728563,0.0001617574,0.001057871,-0.007857415,-8.535385e-05,0.0003765797,0.002736808,0
1.27,0.0007403074,0.0001475974,0.002923105,-0.007905281,-8.535385e-05,0.0003768739,0.002703956,0
1.28,0.0006738679,0.0001610718,0.002656646,-0.007814253,-8.535385e-05,0.0003768428,0.002675192,0
1.29,0.0006480446,0.0001479017,0.0007914044,-0.007853881,-8.535385e-05,0.0003764665,0.002635223,0
