t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
0.77,-0.09861296,-0.09794198,-1.055293,-0.8609997,0.2148175,0.2115086,0.4862309,0.1108968
0.78,-0.1073903,-0.1073108,-0.9905423,-0.8256519,0.2099552,0.2147851,-0.4862309,0.1032212
0.79,-0.1153356,-0.1146752,-0.9244596,-0.7162602,0.2099552,0.2125475,0,0.09976935
0.8,-0.122604,-0.1217963,-0.8559788,-0.6333336,0.2099552,0.2118098,0,0.1003947
0.81,-0.1291305,-0.1283088,-0.7824351,-0.5552952,0.2099552,0.21158,0,0.1017935
0.82,-0.134911,-0.1340639,-0.6974336,-0.4755819,0.2099552,0.2115175,0,0.1030412
0.83,-0.1398945,-0.1390358,-0.6134979,-0.3935091,0.2099552,0.2115087,0,0.1040222
0.84,-0.143855,-0.1431829,-0.527164,-0.3089308,0.2099552,0.2115146,0,0.1047409
0.85,-0.1468308,-0.1462877,-0.4272406,-0.2186734,0.2099552,0.2115159,0,0.1050068
0.86,-0.1488505,-0.1483542,-0.3342452,-0.1246181,0.2099552,0.2115141,0,0.1050299
0.87,-0.1500758,-0.1494283,-0.2404504,-0.02902189,0.2099552,0.211512,0,0.1049887
0.88,-0.150401,-0.1496908,-0.1453233,0.06384455,0.2099552,0.2115164,0,0.1051536
0.89,-0.1497919,-0.1490841,-0.04007065,0.1552218,0.2099552,0.2115214,0,0.1053455
0.9,-0.1481469,-0.1475623,0.05532293,0.245792,0.2099552,0.2115246,0,0.1054729
0.91,-0.1456156,-0.1450189,0.1499171,0.337175,0.2099552,0.2115223,0,0.1054037
0.92,-0.1420784,-0.1415817,0.253571,0.4261656,0.2099552,0.2115215,0,0.1053723
0.93,-0.1377511,-0.137168,0.3444347,0.5143029,0.2099552,0.2115173,0,0.1052241
0.94,-0.1326832,-0.1319715,0.4331667,0.5975142,0.2099552,0.2115178,0,0.1052331
0.95,-0.1268553,-0.1260843,0.5181683,0.67465,0.2099552,0.2115226,0,0.1054021
0.96,-0.1201371,-0.1195009,0.6087655,0.746666,0.2099552,0.2115277,0,0.1055922
0.97,-0.1127126,-0.1120854,0.687372,0.8167347,0.2099552,0.2115262,0,0.1055502
0.98,-0.1046566,-0.1039837,0.7598497,0.8819337,0.2099552,0.211525,0,0.1055107
0.99,-0.09592174,-0.09529991,0.8384562,0.94087,0.2099552,0.2115259,0,0.105542
1,-0.08668102,-0.08600371,0.9042724,0.995034,0.2099552,0.2115247,0,0.1054984
1.01,-0.07681973,-0.07624897,0.9628941,1.042086,0.2099552,0.2115259,0,0.1055391
1.02,-0.06660903,-0.06594992,1.014055,1.0848,0.2099552,0.2115228,0,0.1054316
1.03,-0.05581836,-0.05534229,1.062285,1.11922,0.2099552,0.2115241,0,0.1054707
1.04,-0.04485921,-0.04424476,1.100655,1.150257,0.2099552,0.2115183,0,0.1052649
1.05,-0.03378477,-0.03300714,1.129966,1.171617,0.2099552,0.2115196,0,0.1053007
1.06,-0.02255206,-0.02174956,1.154747,1.182935,0.2099552,0.2115261,0,0.1055318
1.07,-0.01115261,-0.01043678,1.173666,1.186888,0.2099552,0.2115311,0,0.1057203
1.08,0.0002255295,0.0009658246,1.184324,1.18551,0.2099552,0.2115312,0,0.1057385
1.09,0.01154072,0.01229551,1.187522,1.176661,0.2099552,0.2115323,0,0.1057823
1.1,0.0227124,0.02348764,1.181926,1.160627,0.2099552,0.2115335,0,0.1058306
1.11,0.03371594,0.03446503,1.169136,1.137431,0.2099552,0.2115351,0,0.1058895
1.12,0.04445095,0.0452022,1.151017,1.108111,0.2099552,0.2115351,0,0.1058965
1.13,0.05491561,0.05561079,1.124104,1.072308,0.2099552,0.2115353,0,0.105904
1.14,0.06479671,0.06568376,1.088931,1.031334,0.2099552,0.2115334,0,0.105838
1.15,0.07433499,0.07512846,1.049228,0.9808471,0.2099552,0.2115391,0,0.1060368
1.16,0.08330774,0.08413122,1.001531,0.9266549,0.2099552,0.2115393,0,0.1060528
1.17,0.09158622,0.09253493,0.94211,0.8666973,0.2099552,0.2115405,0,0.1061021
1.18,0.0993787,0.1001912,0.8824224,0.7996502,0.2099552,0.2115458,0,0.1062945
1.19,0.1064929,0.107287,0.8195373,0.730881,0.2099552,0.2115443,0,0.1062525
1.2,0.1128829,0.1136908,0.7510564,0.6584753,0.2099552,0.2115428,0,0.1062009
1.21,0.1183583,0.119337,0.6700519,0.5822887,0.2099552,0.2115424,0,0.1061833
1.22,0.1230953,0.1240372,0.5919784,0.4999477,0.2099552,0.2115482,0,0.1063882
1.23,0.1271501,0.1279363,0.5125725,0.4159874,0.2099552,0.2115505,0,0.1064806
1.24,0.1302674,0.1311359,0.4211759,0.3330385,0.2099552,0.2115465,0,0.106346
1.25,0.1324762,0.1334152,0.335375,0.2470557,0.2099552,0.211547,0,0.1063593
1.26,0.1338246,0.134759,0.2463765,0.1589124,0.2099552,0.2115498,0,0.1064577
1.27,0.134372,0.1352222,0.1592433,0.0706192,0.2099552,0.2115513,0,0.1065185
1.28,0.133864,0.1348833,0.06091864,-0.01584289,0.2099552,0.2115494,0,0.1064532
1.29,0.1326071,0.1335158,-0.03021153,-0.1046915,0.2099552,0.2115542,0,0.1066235
1.3,0.1305453,0.1313726,-0.1181441,-0.1900362,0.2099552,0.2115533,0,0.1065987
1.31,0.1275889,0.1284618,-0.2066097,-0.2720499,0.2099552,0.2115499,0,0.1064789
1.32,0.1237411,0.1246948,-0.3025362,-0.3526528,0.2099552,0.2115494,0,0.1064555
1.33,0.1191325,0.1200546,-0.3856725,-0.4319223,0.2099552,0.2115519,0,0.1065419
1.34,0.1137522,0.1146674,-0.4664106,-0.5072157,0.2099552,0.2115523,0,0.1065605
1.35,0.1076353,0.1085507,-0.5516786,-0.5785813,0.2099552,0.2115524,0,0.1065643
1.36,0.1009211,0.1017391,-0.6249558,-0.6457332,0.2099552,0.2115524,0,0.1065673
1.37,0.0936814,0.09437213,-0.6955683,-0.7064763,0.2099552,0.211549,0,0.1064457
1.38,0.08570851,0.08654395,-0.7608516,-0.7600189,0.2099552,0.2115423,0,0.1062017
1.39,0.0771929,0.07806239,-0.8287996,-0.8111665,0.2099552,0.2115432,0,0.1062195
1.4,0.06807134,0.06906261,-0.8831579,-0.857375,0.2099552,0.2115449,0,0.1062744
1.41,0.05868428,0.05951026,-0.932187,-0.8999488,0.2099552,0.2115502,0,0.1064661
1.42,0.04885906,0.04972382,-0.9804168,-0.9332407,0.2099552,0.2115477,0,0.1063865
1.43,0.0387179,0.03959655,-1.017988,-0.9610373,0.2099552,0.2115476,0,0.1063819
1.44,0.02845734,0.02920917,-1.051296,-0.982668,0.2099552,0.211548,0,0.1063965
1.45,0.0179561,0.01876133,-1.076876,-0.9954206,0.2099552,0.2115437,0,0.1062454
1.46,0.007354361,0.008165561,-1.094729,-1.002697,0.2099552,0.211543,0,0.1062106
1.47,-0.003377767,-0.002476086,-1.104322,-1.003513,0.2099552,0.2115427,0,0.1061944
1.48,-0.0139348,-0.01318114,-1.104322,-0.9994211,0.2099552,0.2115456,0,0.106298
1.49,-0.02410374,-0.02366732,-1.103789,-0.9859837,0.2099552,0.2115422,0,0.1061805
1.5,-0.03420165,-0.03367807,-1.10219,-0.9603954,0.2099552,0.2115288,0,0.1056982
1.51,-0.04435693,-0.04348923,-1.089666,-0.9306132,0.2099552,0.2115235,0,0.1054813
1.52,-0.05442318,-0.05330849,-1.061421,-0.9013684,0.2099552,0.2115321,0,0.10577
1.53,-0.06394703,-0.06304404,-1.022251,-0.8706331,0.2099552,0.2115461,0,0.1062788
1.54,-0.07274295,-0.07223324,-0.9860125,-0.8299575,0.2099552,0.2115475,0,0.1063558
1.55,-0.08118279,-0.08060367,-0.9436449,-0.7766197,0.2099552,0.2115346,0,0.1059099
1.56,-0.08913429,-0.08848467,-0.8951488,-0.7199336,0.2099552,0.2115292,0,0.1056956
1.57,-0.09641093,-0.0958441,-0.8354612,-0.660125,0.2099552,0.211528,0,0.105639
1.58,-0.1030381,-0.1025022,-0.7787046,-0.5946498,0.2099552,0.2115242,0,0.1054951
1.59,-0.1091876,-0.1084554,-0.7174183,-0.5249701,0.2099552,0.2115207,0,0.1053578
1.6,-0.114581,-0.1138854,-0.6420094,-0.4557112,0.2099552,0.2115253,0,0.1055135
1.61,-0.1192248,-0.1185694,-0.570331,-0.3827825,0.2099552,0.2115269,0,0.1055724
1.62,-0.1229983,-0.1224701,-0.495455,-0.3066511,0.2099552,0.2115264,0,0.1055616
1.63,-0.1261016,-0.1254735,-0.4187138,-0.226256,0.2099552,0.2115217,0,0.1053928
1.64,-0.128383,-0.1277619,-0.3313141,-0.1464192,0.2099552,0.2115223,0,0.1054051
1.65,-0.1297684,-0.1292379,-0.2473784,-0.06552777,0.2099552,0.2115223,0,0.1054043
1.66,-0.1303566,-0.1298121,-0.1639757,0.01743475,0.2099552,0.2115191,0,0.1052887
1.67,-0.1301368,-0.1295691,-0.07177968,0.09992635,0.2099552,0.2115175,0,0.1052279
1.68,-0.1289901,-0.1285248,0.01135662,0.1813032,0.2099552,0.2115174,0,0.105216
1.69,-0.1271706,-0.1265703,0.09422645,0.2634053,0.2099552,0.2115136,0,0.1050777
1.7,-0.1246511,-0.1239331,0.175764,0.3412482,0.2099552,0.2115159,0,0.1051553
1.71,-0.1212705,-0.1206399,0.2636966,0.4148618,0.2099552,0.2115216,0,0.105357
1.72,-0.1172586,-0.1165346,0.342303,0.4876859,0.2099552,0.211522,0,0.105383
1.73,-0.1125627,-0.1118047,0.4174454,0.5558211,0.2099552,0.2115257,0,0.1055195
1.74,-0.1071766,-0.1064406,0.4909891,0.6200536,0.2099552,0.2115292,0,0.1056555
1.75,-0.10087,-0.1004287,0.5685297,0.6810433,0.2099552,0.2115308,0,0.1057202
1.76,-0.09408812,-0.09353806,0.633813,0.7433779,0.2099552,0.2115214,0,0.1053904
1.77,-0.08682497,-0.0861531,0.6948329,0.7989205,0.2099552,0.2115193,0,0.1053047
1.78,-0.07899824,-0.07835469,0.7590503,0.8472895,0.2050929,0.2115223,-0.4862309,0.1054007
1.79,-0.07070569,-0.06945795,0.8128757,0.9229559,0.2099552,0.2083042,0.4862309,0.111579
1.8,-0.06206527,-0.06146025,0.860306,0.924086,0.2099552,0.2105486,0,0.1139258
1.81,-0.0530705,-0.05254279,0.9026736,0.951533,0.2099552,0.2112769,0,0.1124324
1.82,-0.04365315,-0.04320627,0.9423766,0.9805065,0.2099552,0.2114988,0,0.1105176
1.83,-0.03405871,-0.03350242,0.9730197,1.006435,0.2099552,0.2115519,0,0.1088279
1.84,-0.02432929,-0.02367081,0.9980671,1.024253,0.2099552,0.2115588,0,0.1077148
1.85,-0.01446986,-0.0137915,1.016986,1.033811,0.2099552,0.2115552,0,0.1070492
1.86,-0.004542965,-0.00386789,1.027112,1.036659,0.2099552,0.211549,0,0.1066069
1.87,0.005367513,0.006055281,1.032441,1.033269,0.2099552,0.2115431,0,0.1062959
1.88,0.01508561,0.01590024,1.031109,1.023418,0.2099552,0.2115391,0,0.1060979
1.89,0.02470246,0.02549176,1.021249,1.005144,0.2099552,0.2115405,0,0.106123
1.9,0.03411308,0.03489571,1.008459,0.9815462,0.2099552,0.2115403,0,0.106107
1.91,0.0432035,0.04404098,0.9871422,0.9524074,0.2099552,0.2115399,0,0.1060875
1.92,0.05195124,0.05281299,0.9591637,0.9167904,0.2099552,0.2115415,0,0.1061438
1.93,0.06034973,0.06117828,0.9274546,0.8755624,0.2099552,0.2115434,0,0.1062127
1.94,0.06839821,0.06913804,0.8885511,0.8300679,0.2099552,0.2115434,0,0.1062174
1.95,0.07598606,0.07670464,0.8451177,0.7815712,0.2099552,0.2115403,0,0.1061082
1.96,0.08301172,0.08378298,0.7918252,0.7290427,0.2099552,0.2115376,0,0.1060071
1.97,0.08939759,0.09026229,0.7377333,0.6714583,0.2099552,0.2115377,0,0.1060051
1.98,0.0951803,0.0960546,0.6793781,0.6085187,0.2099552,0.2115411,0,0.1061222
1.99,0.1003481,0.1011908,0.6170258,0.5422742,0.2099552,0.2115435,0,0.1062138
2,0.1048739,0.1056798,0.545081,0.4738917,0.2099552,0.211544,0,0.106236
2.01,0.1086449,0.1095071,0.4763336,0.4038467,0.2099552,0.211543,0,0.1062046
2.02,0.111721,0.112567,0.4035894,0.3308249,0.2099552,0.2115444,0,0.1062549
2.03,0.1140061,0.1149032,0.3231177,0.256689,0.2099552,0.2115447,0,0.1062684
2.04,0.1154772,0.1164411,0.246643,0.1806389,0.2099552,0.2115467,0,0.1063425
2.05,0.1162378,0.117149,0.1688359,0.1029202,0.2099552,0.2115504,0,0.1064777
2.06,0.1162176,0.1171295,0.09076244,0.02627663,0.2099552,0.2115509,0,0.1065026
2.07,0.115429,0.1163431,0.003895666,-0.04988276,0.2099552,0.2115513,0,0.1065207
2.08,0.1139158,0.1147955,-0.07364491,-0.1251162,0.2099552,0.2115517,0,0.1065358
2.09,0.1117425,0.112534,-0.1498532,-0.198289,0.2099552,0.2115507,0,0.1065024
2.1,0.1086394,0.1096335,-0.2319236,-0.2680114,0.2099552,0.211547,0,0.1063679
2.11,0.1078826,0.1058467,-0.005164057,-0.3392917,0.2099552,0.2115518,0,0.1065337
2.12,0.1034679,0.1043124,-0.3747475,-0.352139,0.2099552,0.2114472,0,0.1028009
2.13,0.09845782,0.0998288,-0.442429,-0.4185572,0.2099552,0.2114836,0,0.103922
2.14,0.09283847,0.09418811,-0.5135745,-0.49088,0.2099552,0.2115237,0,0.105346
2.15,0.08654448,0.08786961,-0.5764596,-0.5582051,0.2099552,0.2115481,0,0.1062855
2.16,0.0798303,0.08092577,-0.6329497,-0.6203346,0.2099552,0.2115632,0,0.1068941
2.17,0.07262979,0.07360874,-0.6886403,-0.673309,0.2099552,0.2115651,0,0.107018
2.18,0.06496858,0.0658986,-0.7424657,-0.7192562,0.2099552,0.2115627,0,0.1069558
2.19,0.05689566,0.05780016,-0.7866985,-0.7592978,0.2099552,0.2115596,0,0.1068522
2.2,0.04846731,0.04935074,-0.8280002,-0.7936754,0.2099552,0.2115568,0,0.1067497
2.21,0.03974392,0.04060377,-0.8685025,-0.8222863,0.2099552,0.2115543,0,0.1066533
2.22,0.0308587,0.03162033,-0.897014,-0.8449329,0.2099552,0.2115518,0,0.1065577
2.23,0.02177141,0.02253354,-0.9209956,-0.8601364,0.2099552,0.2115467,0,0.106368
2.24,0.01257188,0.01332147,-0.9388486,-0.8697349,0.2148175,0.2115435,0.4862309,0.1062396
